DateTime,TimestampInfo,ArtifactName,Tool,Description,DataDetails,DataPath,FileExtension,EventId,User,Computer,FileSize,IPAddress,SourceAddress,DestinationAddress,SHA1,Count,EvidencePath,RawData
2025-05-03T22:27:46.0000000,Start Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,ExecuteOpen,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T22:27:46.0000000,Last Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,ExecuteOpen,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T22:27:46.0000000,Client Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,ExecuteOpen,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T22:27:46.0000000,Start Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T22:29:08.0000000,End Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T00:01:22.0000000,Duration,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T22:29:08.0000000,Last Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T22:29:08.0000000,Client Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,SentinelOne.WinAgent,,,,,,,,,,,FileFolderAccess/20250503174052_admin0x_Activity.csv,
2025-05-03T22:34:01.4811583,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/filecoauth.exe,.exe,,,,2182952,,,,1ee6cf719014526f95ba8c2961b018c1852198bf,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.4811583,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/filesyncconfig.exe,.exe,,,,813376,,,,50a4bce1b7cd12b1ad98cf4ba0324ea9088cf704,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.4974820,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/filesynchelper.exe,.exe,,,,3587904,,,,8001335c7ecc73db0ba0d97b991fe212683ff4cc,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.4974820,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/microsoft.sharepoint.nativemessagingclient.exe,.exe,,,,41256,,,,dad740c2a0482efecd662ad7732eb3e0cbb2096e,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.4974820,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/microsoft.sharepoint.exe,.exe,,,,1033032,,,,4639cd74a5ef57db79df417d97ac0664689de0a7,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.4974820,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/onedrivefilelauncher.exe,.exe,,,,396616,,,,168558107ec0b37d98e5eccc12b163763355957b,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.5131737,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/onedrivelauncher.exe,.exe,,,,679232,,,,ba3befc18edda17124e0925a21c8b745f113cb67,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.5289548,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/onedrivepatcher.exe,.exe,,,,3484504,,,,b8cf2a2de45a78e051fcc4f4ddad79a11f1482d2,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.6380923,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/onedrivesetup.exe,.exe,,,,89199416,,,,3809f744bb2ce16be7b4c286d074c9837dbe6201,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:34:01.6538633,Last Write,Amcache,EZ Tools,Program Execution,Microsoft OneDrive,c:/users/admin0x/appdata/local/microsoft/onedrive/25.065.0406.0002/onedriveupdaterservice.exe,.exe,,,,3841360,,,,5c3935ce88cf9209a64f0d53d43597b21432d765,,ProgramExecution/20250503174027_Amcache_AssociatedFileEntries.csv,
2025-05-03T22:27:28.2257751,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/users/admin0x/desktop/034f0af28f11a2b8bfb18ce49558a1f3621e6f69fbb0d76fc5ff19608c04f58b/034f0af28f11a2b8bfb18ce49558a1f3621e6f69fbb0d76fc5ff19608c04f58b.exe,.exe,,,,3075072,,,,0751d0f22065a7cfa7e40d1b31fdc0b02e55f1e3,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.9697690,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/136.0.3240.50/cookie_exporter.exe,.exe,,,,117320,,,,41697210bc9b1b390e96f1b6482a698a8b1ebe83,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.8472443,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/135.0.3179.98/cookie_exporter.exe,.exe,,,,123448,,,,6ca35c14e5965fea3d365146117c0bbad0bc326a,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:27:13.1971551,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/windows/system32/devicecensus.exe,.exe,,,,58704,,,,4817d7039b5b983b6c115fa6a6f16a71fe59fafd,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.8577645,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/135.0.3179.98/elevated_tracing_service.exe,.exe,,,,3931216,,,,decfd358da4095a0bf8fdc41d909bcd315b769f3,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.9808527,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/136.0.3240.50/elevated_tracing_service.exe,.exe,,,,3874856,,,,be5fad5985e6b0b14e9d4361c91fe3005422c5dc,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.9925317,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/136.0.3240.50/elevation_service.exe,.exe,,,,2327624,,,,37a699f1a57819f3087f053fcf90a1c8b7578274,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.8689923,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/135.0.3179.98/elevation_service.exe,.exe,,,,2348600,,,,bf370d3675c58af825f25ea0a311207ac0e0e418,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.8800962,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/135.0.3179.98/identity_helper.exe,.exe,,,,1453120,,,,cbce799e0ca8f57249cbfb5b5875f72a4c848157,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:28.0017247,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/136.0.3240.50/identity_helper.exe,.exe,,,,1446952,,,,5a3e120146b549e8380f5b6403af3952a93a2557,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.9675392,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/136.0.3240.50/bho/ie_to_edge_stub.exe,.exe,,,,523840,,,,59ecc63075bca4639b651e6b9a235775a1497920,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:27.8472443,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgecore/135.0.3179.98/bho/ie_to_edge_stub.exe,.exe,,,,529448,,,,f2a0e56ad116ea7fa9b7ff5815ba4c3a56c0a397,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:28.1374024,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgeupdate/1.3.195.49/microsoftedgecomregistershellarm64.exe,.exe,,,,186464,,,,29995d65e0509d01c74a71e40ddfe1c79ed7f341,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
2025-05-03T22:28:28.2131063,Last Write,Amcache,EZ Tools,Program Execution,Unassociated,c:/program files (x86)/microsoft/edgeupdate/1.3.195.49/microsoftedgeupdatesetup.exe,.exe,,,,1649736,,,,a074d6087c51fc80e3e94997146b2f2d8d63c220,,ProgramExecution/20250503174027_Amcache_UnassociatedFileEntries.csv,
